연번,사용일,적  요,금  액,"대상
(인)",사용처,"집행구분
(카드/현금)",
56,2020-08-06,사회적 거리두기 2단계 연장 여부 시민단체 등 업무협력 간담회,"304,000",12,신가네풍천장어,카드,
76,2020-08-06,청사 옥상 LED컨버터함 설치 자문 등 협의간담,"63,000",7,상무바다,카드,
53,2020-08-07,위드 코로나 대응 분야별 전문가 오찬 간담,"264,000",12,섬진강계절음식,카드,
66,2020-08-07,안내데스크 냉난방기 시설물 보완 간담 등 협의,"66,000",8,섬진강추어탕,카드,
84,2020-08-07,공무원 마음건강센터 운영에 따른 협의간담,"148,000",12,칠우대패삼겹살,카드,
51,2020-08-09,휴일 현안업무 추진 비서요원 오찬 격려,"120,000",11,박정표밀알모밀,카드,
54,2020-08-09,집중호우 대응 관련 행안부 관계자 간담,"78,000",6,복아귀명가,카드,
71,2020-08-10,시정 주요사업 홍보 및 현안 논의 간담회,"144,000",5,머시기쪽갈비생족발,카드,
88,2020-08-11,시 주요현안 협의 간부회의 추진,"200,000",40,씨티매니저,카드,
60,2020-08-12,제75주년 광복절 경축식 관련 따른 업무협의 간담,"148,000",8,청정바다수산,카드,
61,2020-08-12,제75주년 광복절 경축식 관련 따른 언론홍보 등 간담,"60,000",3,상무바다,카드,
80,2020-08-14,8.15광복절행사 최종점검 등 업무 간담,"63,000",9,영광오뚜기국수집,카드,
81,2020-08-14,8.15광복절행사 최종점검 등 업무 간담,"20,000",9,시티매니저,카드,
90,2020-08-14,광복절 타종행사 추진을 위한 업무추진 간담회,"93,000",8,조봉순상무국밥,카드,
70,2020-08-18,코로나19로 어려움을 겪는 지역 중소상인 등 지원대책 논의 간담회,"260,000",8,함평천지한우가화원,카드,
74,2020-08-18,시정현안업무 홍보관련 소통 간담,"400,000",16,아리랑한정식,카드,
86,2020-08-18,8.18광복절 행사 후 대형태극기 활용 업무협의 간담,"83,000",9,박정표밀알모밀,카드,
89,2020-08-18,집중호우에 따른 수해극복 지원 관련 대구광역시 수재의연금품 전달 계획,"390,000",15,홍아네,카드,
58,2020-08-19,집합.모임.행사금지 등 여론수렴 논의 간담,"294,000",14,약초흑염소,카드,
59,2020-08-20,혁신도시 투자유치 홍보관 운영에 따른 업무추진 간담,"36,000",4,상무바다,카드,
65,2020-08-20,후생복지사업 방향 논의 및 간담,"145,530",6,대원한우명가,카드,
75,2020-08-20,시정현안업무 홍보관련 소통 간담,"354,000",14,남도미가,카드,
72,2020-08-21,코로나19 확산 차단 시민행동 지침 준수 등 홍보 강화 위한 지방언론사 기자 간담회,"266,000",8,명송생복집,카드,
93,2020-08-21,시의회와의 정책소통 및 협력 간담,"232,000",12,육전명가,카드,
55,2020-08-24,자가격리 수칙 위반자 관련 자치구 협조 등 업무추진 간담,"128,000",8,초애삼계탕,카드,
68,2020-08-24,부동산 불법거래 방지 위한 대책강구 논의 간담,"131,000",5,가화원,카드,
79,2020-08-24,시정 주요현안 및 코로나19 확산 차단 시민행동 지침 준수 홍보 강화 위한 중앙언론사 기자 간담회,"193,000",7,라마다플라자광주,카드,
57,2020-08-25,건강관리실내 상담실 설치에 따른 업무추진 간담회,"180,000",12,어촌,카드,
69,2020-08-25,코로나19로 경제적 타격을 받고있는 관광.문화업계 지원방안 논의,"240,000",7,예지원,카드,
64,2020-08-26,혁신도시 및 공공기관 추가이전 관련 업무추진 간담회,"78,000",8,비학산,카드,
63,2020-08-27,코로나19관련 청사 방역소독관련 협의간담,"109,000",12,바다양푼이동태탕,카드,
62,2020-08-28,코로나19 확산에 따른 자치행정국 비상근무 협의 간담,"136,000",14,바다양푼이동태탕,카드,
101,2020-09-02,수도권 공공기관 2차 지방이전 정책토론관련 논의 간담회,"158,000",11,비학산,카드,
95,2020-09-04,주요행사장 카메라기자 등 오찬 간담,"59,700",5,㈜상영푸드/버거,카드,
97,2020-09-04,시정 현안 및 핵심시책 홍보 오찬 간담회,"130,000",5,삼희불낙,카드,
110,2020-09-05,휴일 비상근무 직원격려 만찬,"58,000",8,섬진강다슬기,카드,
103,2020-09-07,주요시책 공유 시의회 간담회,"296,000",30,다원명가,카드,
111,2020-09-07,민원인 부서 사무실 출입제한 의견수렴 간담회,"53,000",8,영광오뚜기국수집,카드,
92,2020-09-08,화요간부회의 등 시 주요현안 협의 추진비용,"200,000",45,이룸카페,카드,
98,2020-09-09,코로나19 지역감염 확산 차단 청사 방호대책 강화 논의,"380,000",20,다르다김밥,카드,
94,2020-09-10,군공항 이전 관련 국방부 관계자 오찬 간담,"476,000",16,연화,카드,
107,2020-09-11,원활한 노동조합 단체교섭에 따른 의견수렴 간담,"152,000",10,상하이,카드,
108,2020-09-11,PC방 등 영세업체 청사내 시위 대비 협의 간담,"74,000",5,서울깍두기,카드,
96,2020-09-14,시정 주요사업 홍보 및 현안 논의 간담회,"40,000",3,미작,카드,
104,2020-09-14,청사출입제한에 따른 시설운영 협의 간담,"63,000",8,박정표밀알모밀,카드,
113,2020-09-15,확대간부회의 등 시 주요현안 협의 추진비용,"216,000",60,이룸카페,카드,
106,2020-09-16,빈번한 청사내 시위에 따른 청사방호 협의 간담회,"54,000",6,상무바지락칼국수,카드,
109,2020-09-16,청사내 시위에 따른 관계자 협의 간담회,"80,000",6,다부,카드,
99,2020-09-21,민간협치 실행방안 사업방향 논의 간담회,"307,000",15,옥과한우촌,카드,
102,2020-09-22,청사방호 관련 업무추진 의견수렴 등 간담회,"215,000",12,메기랑아구랑,카드,
