연번,사용일,적  요,금  액,"대상
(인)",사용처,"집행구분
(카드/현금)",
6,19.12.13,일선소방 공무원과 소통 및 노고에 따른 격려음식 구입,"1,050,000",60,푸드마켓외1,카드,
7,19.12.13,직원 애경사 축부의금 집행(2건),"100,000",2,소속직원,현금,
8,19.12.16,2019년 하반기 퇴직공무원 기념품 구입,"10,640,000",56,(유)에이원이앤씨,카드,
9,19.12.18,문화경제부시장 환영에 따른 간부공무원과 만찬,"2,460,000",82,천송,카드,
10,19.12.19,시책 현장(야외스케이트장) 근무자 격려 다과 구입,"400,000",45,푸드마켓,카드,
11,19.12.20,12월 직원생일 축하 격려물품 구입비 집행,"3,925,000",157,틔움직업재활센터,카드,
12,19.12.20,직원 애경사 축부의금 집행(3건),"150,000",3,소속직원,현금,
13,19.12.23,비서실 내방객 접대용 다과 구입,"448,200",,이룸카페외1,카드,
14,19.12.24,올해의 베스트 실국(전략산업국) 시상에 따른 격려금 집행,"1,000,000",,전략산업국,입금,
15,19.12.26,연말 전 직원 노고에 따른 격려 오찬 간담회,"2,000,000",880,시청구내식당,카드,
16,19.12.27,직원 애경사 축부의금 집행(2건),"100,000",2,소속직원,현금,
17,19.12.30,동절기 현장근무자 노고 격려 간식 구입,"270,000",40,BBQ치평점,카드,
18,19.12.31,광주다운 도시계획 등 현안업무 추진 직원 격려 오찬,"333,000",13,해송생복집,카드,
526,19.11.04,안전분야 반부패 협의회 개최에 따른 관계자 간담,"830,000",40,만재수산,카드,
527,19.11.25,남북화해 협력증진을 위한 이북5도민 사무소 관계자 간담,"410,000",14,동경,카드,
528,19.11.26,불한 하원의원 친선협회 프랑스 대표단 간담회,"220,000",8,알랭,카드,
529,19.12.03,지역 소상공인 육성 및 지원방안 논의 간담회 비용집행,"215,000",8,마구로본가,카드,
530,19.12.03,시의회 출입기자 시책홍보 간담회 비용 집행,"33,000",3,생태야생태,카드,
531,19.12.04,2020 본예산 예결위 심의대비 쟁점사항 협의 간담회 비용 집행,"120,000",5,홍아네,카드,
532,19.12.05,내방객 지급 기념품 구입,"1,500,000",100,㈜인스나인,카드,
533,19.12.06,한방진료프로그램운영 관련 오찬 간담회 비용집행,"240,000",8,천송,카드,
534,19.12.09,세계인권선언 71주년 행사 홍보 관련 논의 간담회,"60,000",3,미작,카드,
535,19.12.10,맞춤형복지연계 상생카드 발급독려 협의,"66,000",5,바른초밥,카드,
536,19.12.11,광주사회서비스원 설립 시민공청회 관계자 간담,"250,000",9,예지원,카드,
537,19.12.11,의전행사 요청에 따른 동선 등 업무협의,"80,000",4,다부,카드,
538,19.12.12,교통사고 다발지역 교통체계 개선방안 논의 간담회,"232,000",8,천관산암소한우,카드,
539,19.12.12,시청각자료실 홈페이지 운영 관련 간담회 비용집행,"40,000",4,바른초밥,카드,
540,19.12.13,내방객 지급 기념품 구입,"2,150,000",60,아트컴퍼니모이모,카드,
541,19.12.13,양림동 근대문화마을 부근 불법 주정차 해소방안 모색 논의 간담회,"91,500",4,피터테이블,카드,
542,19.12.13,시간제 보육서비스 확대운영 홍보 간담회,"62,000",3,바른초밥,카드,
543,19.12.13,희망광주만들기 실무 협의 간담회 비용집행,"13,000",2,홍문각,카드,
544,19.12.16,희망광주만들기 업무협의 간담회 비용집행,"50,000",4,우래정,카드,
545,19.12.17,광주평생교육진흥원 정기 이사회 관계자 간담,"504,000",18,백년미가,카드,
546,19.12.17,시정현안 논의 간담회 비용집행,"75,000",5,옥과한우촌,카드,
547,19.12.17,국 주요시정현안 논의 간담회,"380,000",13,홍아네,카드,
548,19.12.18,도시철도2호선 건설 시민불편 최소화 방안 간담회,"207,000",7,미스터초밥,카드,
549,19.12.19,청사출입관리시스템 시범운영 관련 간담 비용집행,"190,100",84,이룸카페,카드,
550,19.12.20,노사협력 방안협의 간담회 비용집행,"157,000",7,서울깍두기,카드,
551,19.12.20,시정현안 관련 여론수렴 간담회,"100,000",4,동경,카드,
552,19.12.23,2019년도 제1회 복지협치 전체 회의 관계자 간담,"1,485,000",150,델리하우스,카드,
553,19.12.24,시책사업 홍보 및 현안 논의 간담회,"48,000",2,영하반점,카드,
554,19.12.24,화요간부회의 차담회,"295,000",31,시티매니저,카드,
555,19.12.24,2020년 주요 시정방향 논의 정책 간담회,"690,000",23,송하,카드,
556,19.12.24,동절기 복지시설 안전관리 대책방안 논의 간담회,"158,000",6,양육점수완점,카드,
557,19.12.24,미지급초과수당 지급 업무협의 간담회,"86,000",7,최주원육개장,카드,
558,19.12.26,광주글로벌모터스 기공식 의전협의 간담회 비용집행,"78,000",6,미담가든,카드,
559,19.12.26,전직원 송년오찬(광주주먹밥) 협의간담회,"122,000",5,나룻배,카드,
560,19.12.27,군 공항 이전사업 등 홍보 논의 간담회,"134,000",5,대복전,카드,
561,19.12.27,공공기관별 현안업무 공유 및 소통 강화 논의 간담회,"437,000",15,가화원,카드,
562,19.12.30,아동친화도시 인증 등 홍보 논의 간담회,"135,500",5,동경푸줏간,카드,
563,19.12.30,겨울철 전통시장 안전관리 대책방안 논의 간담회,"130,000",5,하남낙지마당,카드,
564,19.12.31,연말 평가관련 협의 오찬 간담회 비용 집행,"270,500",10,우래정외1,카드,
,19.11.01,광주형 복지모델 구축을 위한 워크숍 관계자 간담,"68,000",5,본도시락,카드,
,19.11.01,직원 애경사 축부의금 집행(8건),"400,000",8,소속직원,현금,
,19.11.04,내방객 제공 음료 등 재료 구입,"361,900",,푸드마켓,카드,
,19.11.06,정의로운 도시 의향광주 추진 등 협업조정회의 간담,"39,000",18,이룸카페,카드,
,19.11.07,정부혁신박람회 준비 등 혁신업무 추진 관계자 간담,"590,000",24,동경,카드,
,19.11.12,근속승진인사 시행게획 협의 등 인사운영 관계자 간담,"118,000",6,본도시락,카드,
,19.11.15,직원 애경사 축부의금 집행(5건),"250,000",5,소속직원,현금,
,19.11.18,당면 현안업무 추진에 따른 직원 간담,"32,000",4,나주곰탕노안집,카드,
,19.11.19,도시재생사업 성과 확산을 위한 포럼 관계자 간담,"93,000",5,본도시락,카드,
,19.11.20,고령친화도시 조성 연구용역 관계직원 간담,"329,000",11,김가원,카드,
,19.11.20,시정현안 홍보 등 언론협력업무 관계자 간담,"180,000",8,행복한밥상,카드,
,19.11.21,2020년 국비 관련 국회 상임위별 심사 대응 협의 간담,"204,000",8,매력한우,카드,
,19.11.21,청사출입관리시스템 홍보업무 추진 격려 간담 비용집행,"437,000",15,다원명가,카드,
,19.11.22,내방객 제공 음료 등 재료 구입,"389,400",,로컬푸드,카드,
,19.11.25,내방객 제공 음료 등 재료 구입,"206,000",,한국야쿠르트,카드,
,19.11.26,맞춤형복지 등 직원복지향상 격려 간담 비용집행,"414,500",15,홍문각,카드,
,19.11.28,규제개혁 및 자치법규 정비 등 법무행정 관계자 간담,"440,000",20,만재수산,카드,
582,19.11.01,가족친화 조직문화 정착을 위한 간담회 비용 집행,"155,000",7,홍아네,카드,
583,19.11.04,안전분야 반부패 협의회 개최에 따른 관계자 간담,"830,000",40,만재수산,카드,
584,19.11.04,청사방호시스템 운영 인력배치 관련 업무협의 간담 비용 집행,"281,000",12,백제갈비,카드,
585,19.11.04,청사방호시스템 운영계획 수립 관련 간담 비용 집행,"234,000",12,이산정,카드,
586,19.11.05,청사방호시스템 운영계획 수립 관련 간담 비용 집행,"72,000",9,성복추어탕,카드,
587,19.11.05,마을분쟁해결센터 운영 확대방안 논의 간담회,"106,000",4,광주옥1947,카드,
588,19.11.06,광주청년 일 경험드림 추진방안 논의 간담회,"54,000",7,고봉민김밥인,카드,
589,19.11.06,청사방호시스템 도입 관련 여론 대응 간담 비용 집행,"49,000",5,홍문각,카드,
590,19.11.06,청사방호시스템 관련 홍보 간담회 비용 집행,"105,000",4,어촌,카드,
591,19.11.07,시·도간 지역 현안문제 해법 모색 방안 논의 간담회,"190,000",7,광주밥집,카드,
592,19.11.07,청사방호시스템 도입 관련 여론 대응 간담 비용 집행,"73,000",5,메기랑아구랑,카드,
593,19.11.08,사회복지종사자 처우개선 등 복지시책 추진방안 논의 간담회,"135,000",6,머시기쪽갈비생족발구이,카드,
594,19.11.08,시의회 행정사무감사 대비 업무연찬회 비용 집행,"186,000",30,비에뜨반미,카드,
595,19.11.08,청사방호시스템 관련 홍보 간담회 비용 집행,"150,000",5,옥과한우촌,카드,
596,19.11.08,동절기 재난 안전사고 예방 및 안전관리 방안 논의 간담회,"134,000",5,양육점수완점,카드,
597,19.11.08,시의회 행정사무감사 대비 업무연찬회 비용 집행,"180,000",9,형성진샤브샤브,카드,
598,19.11.08,공무직 임금 및 직종 제도개선 관련 업무협의 간담회 추진,"145,000",6,옛섬진강,카드,
599,19.11.11,문화예술계 관계자 오찬 간담회,"74,000",4,오스테리아쌍촌,카드,
600,19.11.11,행정동우회 임원과 오찬 간담회,"787,000",35,진도예가,카드,
601,19.11.11,제284회 시의회 시정심의 관련 간담회 비용 집행,"159,000",7,청기와,카드,
602,19.11.12,시책사업 홍보 및 현안 논의 간담회,"51,000",3,미스터초밥,카드,
603,19.11.12,학교폭력대책지역위원회 관련 업무추진 간담회 추진,"60,000",3,장흥,카드,
604,19.11.12,국 주요 현안업무 관련 홍보 간담회 비용 집행,"55,000",3,다부,카드,
605,19.11.12,국 주요 현안업무 관련 홍보 간담회 비용 집행,"54,000",3,낙지한마당,카드,
606,19.11.13,수돗물 오염사고 재발방지 방안 간담회,"80,000",4,별난구이,카드,
607,19.11.13,광주홍보송 관련 간담회 비용 집행,"380,000",13,청산수산,카드,
608,19.11.14,군공항 이전관련 민원사항 해법 모색 간담회,"60,000",3,해동활어,카드,
609,19.11.14,광주홍보송 관련 간담회 비용 집행,"94,000",5,다원명가,카드,
610,19.11.14,달빛내륙철도 건설 추진방안 논의 간담회,"90,000",4,진도예가,카드,
611,19.11.14,청사출입관리시스템 시범운영 관련 간담 비용집행,"95,000",5,진미청국장,카드,
612,19.11.15,노인일자리 및 사회활동 지원 방안 논의 간담회,"74,000",4,진우한우곱창,카드,
613,19.11.15,도시철도 2호선 공사에 따른 민원 해결 방안 간담회,"410,000",14,(유)하누지,카드,
614,19.11.15,국 주요시정 관련 여론동향 및 홍보 간담회 비용 집행,"136,000",5,메기랑아구랑,카드,
615,19.11.15,국 주요시정 관련 여론동향 및 홍보 간담회 비용 집행,"60,000",3,미스터초밥,카드,
616,19.11.15,공무직 임금 및 직종 제도개선 관련 업무협의 간담회 추진,"32,000",3,놀부보쌈,카드,
617,19.11.18,시정 현안 및 핵심시책 홍보 오찬 간담회,"83,000",5,풍향시장오리탕,카드,
618,19.11.18,안전 친절 광주만들기 추진방안 논의 간담회,"200,000",8,옥과한우촌,카드,
619,19.11.18,현안업무 관련 홍보 간담회 비용 집행,"67,500",6,포베이,카드,
620,19.11.19,제284회 시의회 시정심의 관련 간담회 비용 집행,"105,000",5,남해쭈꾸미마을,카드,
621,19.11.20,시정현안에 대한 시민권익위 참여 확대 방안 간담회,"100,000",4,예향계절한정식,카드,
622,19.11.20,전통시장 상권 활성화 방안 논의 간담회,"249,500",9,미작,카드,
623,19.11.20,현안업무 관련 홍보 간담회 비용 집행,"211,000",8,옥과한우촌,카드,
624,19.11.20,시정 현안 및 핵심시책 홍보 오찬 간담회,"80,000",4,맛나감자탕,카드,
625,19.11.20,현안업무 관련 홍보 간담회 비용 집행,"37,000",3,청기와,카드,
626,19.11.21,청소년쉼터 등 청년정책 업무협의 간담회 비용 집행,"181,000",8,상무생복집,카드,
627,19.11.21,광주다운 주민자치센터 시범실시 확대방안 논의 간담회,"211,000",8,사조회참치,카드,
628,19.11.21,중점추진 시책관련 협의 간담회 비용 집행,"66,000",6,옥과한우촌,카드,
629,19.11.22,홍수에 안전한 하천 조성 방안 논의 간담회,"183,000",7,옥과한우촌,카드,
630,19.11.22,시의회 출입기자 시책홍보 간담회 비용 집행,"135,000",5,동경,카드,
631,19.11.25,남북화해 협력증진을 위한 이북5도민 사무소 관계자 간담,"410,000",14,동경,카드,
632,19.11.25,광주홍보송 관련 실무자 간담비용 집행,"120,000",4,청산수산,카드,
633,19.11.26,주요 시정시책 협조인사 증정용 기념품 구입,"1,750,000",,아트컴퍼니모이모,카드,
634,19.11.26,불한 하원의원 친선협회 프랑스 대표단 간담회,"220,000",8,알랭,카드,
635,19.11.27,화순 적벽 관광 명소화 사업 추진방안 간담회,"103,000",4,타오,카드,
636,19.11.28,버스 준공영제 내실화 방안 논의 간담회,"170,000",7,바른초밥,카드,
637,19.11.28,중점추진 시책관련 협의 간담회 비용 집행,"174,000",6,옥과한우촌,카드,
638,19.11.28,청사출입관리시스템 시범운영 관련 간담 비용집행,"88,000",8,보경식품,카드,
639,19.11.29,황룡강 장록습지 보호지역 지정관련 논의 간담회,"108,000",4,물노리,카드,
640,19.11.29,시의회 출입기자 시책홍보 간담회 비용 집행,"172,000",6,청기와,카드,
641,19.11.29,생활 속 안전문화 실천운동 방안 논의 간담회,"290,000",10,해동활어,카드,
642,19.11.30,청사출입관리시스템 시범운영 관련 간담 비용집행,"70,000",5,이룸카페,카드,
,19.10.02,9월 직원생일 축하 격려물품 구입비 집행,"3,125,000",125,틔움직업재활센터,카드,
,19.10.10,지역 군 장병 위문 및 격려 비용 집행,"1,600,000",,대주축산,카드,
,19.10.15,주요 현안업무 추진 부서원 등 격려 간식 구입,"473,000",,푸드마켓,카드,
,19.10.15,직원 애경사 축부의금 집행(5건),"250,000",5,소속직원,현금,
,19.10.17,시.구 청원경찰 한마음 체육대회 추진 격려 간식 구입,"350,000",,푸드마켓,카드,
,19.10.22,직원 애경사 축부의금 집행(5건),"250,000",5,소속직원,현금,
,19.10.23,대한민국 인공지능 산업육성을 위한 광주시-경기도 업무협약 추진노고 격려 간담,"228,000",12,김명자낙지마당,카드,
,19.10.24,주요 시책업무 추진 부서원 격려 간식 구입,"456,000",,새마을금고,카드,
,19.10.24,비서실 내방객 접대용 다과 구입,"120,000",,이룸카페,카드,
,19.10.24,비서실 내방객 접대용 다과 구입,"362,200",,야쿠르트,카드,
,19.10.24,공군 제1전투비행단 군 장병 위문 및 격려,"990,000",,대주축산,카드,
,19.10.28,문화경제부시장 퇴임에 따른 간부공무원과 만찬,"1,650,000",55,해동활어,카드,
,19.10.28,직원 애경사 축부의금 집행(5건),"250,000",5,소속직원,현금,
656,19.10.01,일상경비 지출검사 등 현안업무협의 간담 비용 집행,"199,700",8,조선화로,카드,
657,19.10.01,2019년 3/4분기 공무직 및 기간제 노사협의회 개최 비용 집행,"119,900",37,이룸카페,카드,
658,19.10.04,시.자치구 인사교류 협의회 개최에 따른 관계자 간담회,"475,000",26,만재수산,카드,
659,19.10.07,희망광주만들기 제1차 협업회의 개최,"66,000",12,이룸카페,카드,
660,19.10.08,상습정체지역 교통체계 개선사업 논의 간담회,"135,000",6,금호한우돌곱창,카드,
661,19.10.08,시 공무직노조 2019임금협약 관련 업무협의 간담회 추진,"50,000",4,갈능이곰능이,카드,
662,19.10.08,시민사회단체와 상호협력방안 논의를 위한 간담회,"130,000",5,남도미가,카드,
663,19.10.08,시정 주요 현안 해법 모색 오찬 간담회,"137,000",5,상무생복집,카드,
664,19.10.08,각종 의전행사 업무협조 간담회 비용 집행,"319,000",15,메기랑아구랑,카드,
665,19.10.08,총무과 현안업무 협의 간담회 추진,"55,000",5,미스터초밥,카드,
666,19.10.10,행정사무감사 대비 의회 상임위 업무협의 간담 비용 집행,"590,000",20,연화,카드,
667,19.10.10,주요 현안사업 설명을 위한 지방2진 기자단 간담 비용 집행,"490,000",17,ACC사조회참치,카드,
668,19.10.10,무등산권 세계지질공원 지질관광 활성화 간담회,"88,000",4,효정,카드,
669,19.10.10,복무관련 실국 서무담당회의,"75,000",49,새마을금고,카드,
670,19.10.10,초과 및 복무 관련 관계부서 업무협의 간담회 추진,"48,500",5,미스터빠삭,카드,
671,19.10.11,아이 낳고 키우기 좋은 안심 돌봄사업 논의 간담회,"103,000",5,바른고기엘베요타,카드,
672,19.10.11,건설노조 시 청사 집회 관련 업무협조 간담 비용 집행,"480,000",60,보경식품,카드,
673,19.10.11,청사 집단민원 관련 업무협의 간담회 추진,"305,000",16,이가옹구삼겹살,카드,
674,19.10.14,청사 집단민원 관련 업무협의 간담회 추진,"33,000",3,옥과한우촌,카드,
675,19.10.14,건설노조 청사불법 점거 시위 관련 대응방안 협의 간담회 추진,"55,000",,미친고기,카드,
676,19.10.15,주요 현안사업 설명을 위한 지방1진 기자단 간담 비용 집행,"654,000",22,옥과한우촌,카드,
677,19.10.15,민생 주요 현안 논의 관계자 간담회,"35,500",4,미스터빠삭,카드,
678,19.10.16,시정 현안 및 핵심시책 홍보 오찬 간담회,"21,000",2,나나방콕,카드,
679,19.10.16,국 체육행사 장소 선정을 위한 사전답사 업무협의 간담회 추진,"90,000",8,호반산장,카드,
680,19.10.17,국 체육행사 장소 선정을 위한 사전답사 업무협의 간담회 추진,"120,000",8,홍아네,카드,
681,19.10.17,신규시책 관련 업무협의 간담회 추진,"85,600",4,코벤트마켓,카드,
682,19.10.18,달빛동맹 활성화를 위한 대구-광주 공무원 견학 참석자 증정용 기념품 구입,"800,000",40,베비에르,카드,
683,19.10.18,국 주요 현안 및 핵심시책 홍보 간담회 비용 집행,"174,000",6,4번지,카드,
684,19.10.18,화물연대본부 광주지부 집회 관련 업무협의 간담비용 집행,"325,000",13,다원명가,카드,
685,19.10.21,도시철도 2호선 착공 시민홍보 간담회,"66,720",3,한아름축산,카드,
686,19.10.21,군 공항 종전부지 스마트시티 로드맵 마련 방안 간담회,"207,000",7,양육점,카드,
687,19.10.22,남구 에너지밸리산단 토지 보상민원 관련 업무협의 간담 비용 집행,"51,000",3,남도미가,카드,
688,19.10.22,교통사고 줄이기 지속 추진방안 간담회,"202,000",8,명송생복집,카드,
689,19.10.22,공무직 관련 업무협의 간담회 추진,"50,000",3,다부,카드,
690,19.10.23,시정 현안 및 핵심시책 홍보 간담회,"66,000",4,영미오리탕,카드,
691,19.10.24,광주형 복지모델 구축방안 등 논의 간담회,"250,000",9,동경일식,카드,
692,19.10.24,내방객 및 접견객 등 증정용 기념품 구입,"500,000",10,최씨공방,카드,
693,19.10.24,세계수영선수권대회 이후 자원봉사자 활용방안 간담회,"180,000",9,예향계절한정식,카드,
694,19.10.24,남구 에너지밸리산단 토지 보상민원 관련 업무협의 간담 비용 집행,"100,000",5,다부,카드,
695,19.10.29,주요 시정 현안 논의 만찬 간담회,"111,500",4,맛찬들광주상무점,카드,
696,19.10.29,문화경제부시장 퇴임식 관련 업무협의 간담회 비용 집행,"72,000",9,성복추어탕,카드,
697,19.10.30,주요 시정 현안 논의 만찬 간담회,"60,000",3,센트럴진한정식,카드,
698,19.10.31,학교폭력대책지역위원회 관련 업무추진 간담회 추진,"60,000",3,동경,카드,
699,19.10.31,행정사무감사 대비 의회 상임위 업무협의 간담 비용 집행,"166,000",8,상무생복집,카드,
700,19.10.31,기록사진 전시회 개최 관련 업무협의 간담 비용 집행,"56,000",5,최주원육개장,카드,
,19.09.04,부상공무원 위로 및 격려금 집행,"200,000",1,김선환,카드,
,19.09.04,8월 직원생일 축하 격려물품 구입비 집행,"3,400,000",136,틔움직업재활센터,카드,
,19.09.06,2019 디자인비엔날레 개최 관련 수행원 노고 격려 간담회,"176,000",15,들깨마을칼국수,카드,
,19.09.09,2019년 추석맞이 현장근무자(본청) 격려 위문품 구입비 집행,"2,520,000",126,sm마트,카드,
,19.09.09,2019년 추석맞이 현장근무자(자치구) 격려 위문품 구입비 집행,"19,976,000",908,㈜다담리테일,카드,
,19.09.09,비서실 내방객 접대용 다과 구입,"200,000",,이룸카페,카드,
,19.09.09,비서실 내방객 접대용 다과 구입,"213,000",,㈜한국야쿠르트,카드,
,19.09.10,협약식 및 집무실 환경정비에 따른 화분 등 구입,"710,000",,금강산꽃백화점,카드,
,19.09.10,태풍으로 인한 도로시설물 긴급 복구 추진방안 논의,"324,000",12,송하,카드,
,19.09.10,직원 애경사 축부의금 집행(3건),"150,000",3,소속직원,현금,
,19.09.11,추석 명절 연휴기간 근무자 격려 간식 구입,"790,000",130,푸드마켓,카드,
,19.09.11,추석명절 교통대책 등 관련 현안 논의 간담회,"456,500",17,소망생고기,카드,
,19.09.20,비서요원 현안업무 추진 노고 격려 비용 집행,"140,000",7,자비나눔,카드,
,19.09.23,주요 시책업무 추진 부서원 격려 간식 구입,"400,000",,킹스타피자,카드,
,19.09.24,제17호 태풍대비 비상근무 추진 부서원 격려 간식 구입,"487,000",,새마을금고,카드,
,19.09.25,직원 애사 부의용품 구입,"990,000",50,사랑마루협동조합,카드,
,19.09.26,직원 애경사 축부의금 집행(5건),"250,000",5,소속직원,현금,
,19.09.30,주요 협약식 및 접견 응대용 다과재료 등 구입,"420,000",,푸드마켓,카드,
,19.09.30,직원 애경사 축부의금 집행(7건),"350,000",7,소속직원,현금,
720,19.09.02,전공노 광역단위 단체협약 등 현안사업 홍보 오찬간담회 비용 집행,"105,000",5,다부,카드,
721,19.09.03,마을커뮤니티 공간조성 점검 관련 간담회 비용집행,"260,000",10,정애네집,카드,
722,19.09.03,문화마을 조성사업 추진방안 논의 간담회,"67,600",6,토끼정,카드,
723,19.09.03,하반기 중점추진 주요시책 홍보를 위한 기자간담회 비용 집행,"300,130",30,도미노피자,카드,
724,19.09.04,여론정보기관 관계자와 협력방안 논의 간담회,"40,000",2,원양일식,카드,
725,19.09.05,지역기업 수출 활성화 방안 간담회,"138,000",5,갓포4도씨초밥앤참치,카드,
726,19.09.06,하반기 국 주요업무 추진을 위한 만찬간담회 비용 집행,"126,000",6,다원명가,카드,
727,19.09.06,옛 전남도청 복원 관련 현안 논의 간담회,"370,000",13,여수,카드,
728,19.09.09,간부 정책워크숍 업무협의 오찬간담 비용 집행,"80,000",4,원양,카드,
729,19.09.09,정보공개 등 기록관리 업무협의 간담회 비용 집행,"176,000",11,우래정,카드,
730,19.09.10,간부 정책워크숍 업무협의 오찬간담 비용 집행,"32,000",4,성복추어탕,카드,
731,19.09.10,시정 혁신가치 공유를 위한 정책워크숍 업무협의 간담회 비용 집행,"298,000",17,우래정,카드,
732,19.09.10,추석맞이 복지시설 봉사활동 추진 담당자 간담 비용 집행,"64,000",8,영명곰탕,카드,
733,19.09.10,현안업무 의견수렴을 위한 오찬간담회 비용 집행,"215,000",10,해동활어,카드,
734,19.09.11,광주 군 공항 이전 추진방안 간담회,"56,000",3,구르메키친,카드,
735,19.09.16,시정혁신가치 공유를 위한 간부정책워크숍 만찬,"2,400,000",130,(재)광주과학기술진흥원,카드,
736,19.09.17,광주다운 자치공동체 활성화 방안 간담회,"187,600",8,이차돌,카드,
737,19.09.17,2019.2회 추경 상임위 심의대비 업무협의 간담회 비용 집행,"258,000",14,남해쭈꾸미마을,카드,
738,19.09.19,워크숍 진행 등 협업 추진 효과제고를 위한 만찬 간담 비용 집행,"490,000",25,이가옹구삼겹살,카드,
739,19.09.20,지역아동센터 공공성 강화 방안 간담회,"184,000",7,완도노화횟집,카드,
740,19.09.20,시정혁신을 위한 공직자 혁신교육 강사 오찬 간담,"216,000",10,만재수산,카드,
741,19.09.20,한마음체육대회 관련 협의 만찬간담회 비용 집행,"90,000",6,신락원,카드,
742,19.09.23,지속가능한 안전모범도시 광주 구현방안 간담회,"159,000",6,머시기쪽갈비생족발구이,카드,
743,19.09.23,2019.2회 추경 예결위 심의대비 쟁점사항 협의 간담회 비용 집행,"222,000",8,명송생복집,카드,
744,19.09.23,광주 의료산업 육성 및 지원체계 구축방안 간담회 비용 집행,"297,000",10,가매야,카드,
745,19.09.24,내방객 지급 특화 기념품 구입,"2,340,000",,제일F&S㈜,카드,
746,19.09.24,시정 현안 및 핵심시책 홍보 간담회,"84,000",3,운암축산식육식당,카드,
747,19.09.25,실국서무담당 업무협의 간담회 비용 집행,"169,200",70,이루카페,카드,
748,19.09.25,실국서무담당 업무협의 간담회 비용 집행,"329,000",19,우래정,카드,
749,19.09.26,지역 중소기업 제품 구매 활성화 방안 논의 간담회,"102,000",4,상무암뽕순대국밥,카드,
750,19.09.27,사회복지 시설 종사자 처우개선 방안 간담회,"130,000",6,바른초밥,카드,
751,19.09.27,시정 주요현안 및 핵심시책 홍보 간담회,"60,000",3,진도예가,카드,
752,19.09.27,장애인종합지원센터 근무자 노고 격려 간식 구입,"108,700",17,도미노피자,카드,
753,19.09.30,시민사회단체와 소통거버넌스 협치 구축방안 논의 간담회,"585,630",20,대원축산한우명가,카드,
754,19.09.30,광주역 등 주변 활성화 방안 논의 간담회,"140,000",7,예향계절한정식,카드,
755,19.09.30,2019.2회 추경 심의대비 업무연찬회 비용 집행,"376,000",31,푸드마켓,카드,
756,19.09.30,한마음체육대회 관련 기자 간담회 비용 집행,"60,000",3,다부,카드,
,19.08.02,내년도 국비활동 추진 직원노고 격려 비용 집행,"114,000",8,천지면옥,카드,
,19.08.02,7월 직원생일 축하 격려물품 구입비 집행,"3,000,000",120,틔움직업재활센터,카드,
,19.08.05,직원 애경사 축부의금 집행(4건),"200,000",4,소속직원,현금,
,19.08.08,이달의 공무원 수상자와 만찬 간담회,"655,000",22,연한정식,카드,
,19.08.11,2019세계마스터즈수영대회 개회식 참석 수행 직원 노고 격려,"132,000",5,낙지한마당,카드,
,19.08.13,청사방호 근무자의 노고 격려 오찬 간담회,"648,000",33,신계림삼계탕,카드,
,19.08.15,제74주년 광복절 경축행사 추진 관계자 격려 오찬,"724,000",33,우래정,카드,
,19.08.18,김대중 전대통령 서거 10주기 추모행사 수행직원 노고격려 비용집행,"99,000",7,박정표밀알모밀,카드,
,19.08.19,직원 애경사 축부의금 집행(2건),"100,000",2,소속직원,현금,
,19.08.26,폭염안전대책 추진 관계자 노고 격려 간식 구입,"405,000",,시티매니저,카드,
,19.08.27,2019세계수영선수권대회 성공개최 노고 격려 간식 구입,"487,000",,새마을금고,카드,
,19.08.29,직원 애경사 축부의금 집행(2건),"100,000",2,소속직원,현금,
769,19.08.01,2019광주세계수영마스터즈대회 준비 관련 간담회,"675,000",27,연한정식,카드,
770,19.08.01,공무직 등 근로자 보건안전관리 강화 간담회 비용 집행,"68,000",6,다미정,카드,
771,19.08.02,2019광주세계마스터즈수영권대회 질서 안전분야 논의 간담회,"244,000",9,옥과한우촌,카드,
772,19.08.02,직원 건강관리실 운영 활성화 방안논의 간담회 비용 집행,"280,000",14,광주옥,카드,
773,19.08.06,태풍 및 집중호우 대비 사전 정비 방안 간담회,"103,000",4,타오,카드,
774,19.08.07,경제자유구역 지정 추진 방안 논의 간담회,"148,000",5,행복한밥상,카드,
775,19.08.08,마을공동체 추진 내실화 방안 논의 간담회,"74,500",3,온더블랙,카드,
776,19.08.08,빛고을장학생 선발 관련 논의 간담회 비용 집행,"40,000",3,원양,카드,
777,19.08.08,체력단련실 배려공간 조성에 따른 간담회 비용 집행,"144,000",10,계림삼계탕,카드,
778,19.08.08,체력단련실 배려공간 조성에 따른 간담회 비용 집행,"15,000",10,청자다방,카드,
779,19.08.09,사회적 경제기업 및 시정 공유 등을 위한 간담,"570,000",20,예지원,카드,
780,19.08.12,시정 현안 및 핵심시책 홍보 오찬 간담회,"40,000",3,미작,카드,
781,19.08.14,김대중대통령 서거 10주기 관련 현안 논의,"44,000",3,촌뜨락,카드,
782,19.08.14,제74주년 광복절 기념식 관련 간담회 비용 집행,"40,000",2,원양,카드,
783,19.08.16,전국공무원노동조합 광주시지부와 오찬 간담회,"412,000",14,옥과한우촌,카드,
784,19.08.16,위기청소년을 위한 보호시설 운영방안 논의 간담회,"138,000",5,금호한우돌곱창,카드,
785,19.08.16,청소년 활동 활성화 및 역량 강화방안 논의 간담회,"287,000",10,자연산횟집,카드,
786,19.08.16,공무원노조 관련 현안업무 협의 간담회 비용 집행,"30,800",4,지티이엔지,카드,
