연번,부 서 명,집행일자,집  행  내  역,집행장소,연번,"부 서 명   
 부 서 명","집행일자   
 집행일자"
13,총무과,2020-08-17,코로나19 수도권 집단감염 관련 대구시 대응전략 협의간담회 경비 지출,엄마손칼국수,14,총무과,2020-08-18
14,총무과,2020-08-18,취임 축하화분 구입,제우스플라워,15,총무과,2020-08-19
15,총무과,2020-08-18,코로나19 재확산방지 관련 직원 격려 간담회 경비 지출,뜨돈,16,총무과,2020-08-19
16,총무과,2020-08-19,코로나19 재확산 방역대책 관련 직원 격려 간담회 경비 지출,조가네갑오징어,17,총무과,2020-08-20
17,총무과,2020-08-20,달구벌 콜센터직원 격려 경비 지출,빚은,18,총무과,2020-08-21
18,총무과,2020-08-21,대구경북 상생관련 현안협의 간담회 경비 지출,JS가든,19,총무과,2020-08-22
19,총무과,2020-08-23,코로나19 재확산방지 관련 직원 격려 간담회 경비 지출,개정,20,총무과,2020-08-24
20,총무과,2020-08-25,대구경북 코로나19 재유행 방지대책 간담회 경비 지출,시골갈비식당,21,총무과,2020-08-26
21,총무과,2020-08-27,코로나19 재확산방지 관련 직원 격려 간담회 경비 지출,전주식콩나물해장국,22,총무과,2020-08-28
22,총무과,2020-08-31,코로나19 재확산방지 및 태풍 대비관련 직원 격려 간담회 경비 지출,JS가든,23,총무과,2020-09-01
1,총무과,2020-07-01,직원 격려 간담회 경비 지출,청송약수삼계탕,2,총무과,2020-07-02
2,총무과,"2020-07-02   
 2020-07-02",코로나19 대응 직원 격려(간식) 경비 지출,오케이마트외 1,3,총무과,2020-07-03
3,총무과,2020-07-02,내방객 접대용 음료 등 구입,SSG.COM외 1,4,총무과,2020-07-03
4,총무과,2020-07-02,직원 격려 간담회 경비 지출,해금강,5,총무과,2020-07-03
5,총무과,2020-07-02,주요 시정현안 관련 홍보간담회 경비 지출,오아르 샹들리에,6,총무과,2020-07-03
6,총무과,2020-07-03,코로나19 대응관련 직원 격려품(자두) 구입,소림상회외 1,7,총무과,2020-07-04
7,총무과,2020-07-03,국비예산 협의 직원 격려 간담회 경비 지출,참배나무골,8,총무과,2020-07-04
8,총무과,2020-07-03,통합신공항건설관련 직원 격려 간담회 경비 지출,딩동 클래식 카페,9,총무과,2020-07-04
9,총무과,2020-07-03,중앙부처 업무협의 직원 격려 간담회 경비 지출,석기정,10,총무과,2020-07-04
10,총무과,2020-07-04,코로나19 관련 간담회 경비 지출,벱하노이,11,총무과,2020-07-05
11,총무과,"2020-07-05   
 2020-07-05",코로나19 관련 간담회 경비 지출,낙영찜갈비,12,총무과,2020-07-06
12,총무과,2020-07-06,코로나19 관련 간담회 경비 지출,피에프창,13,총무과,2020-07-07
13,총무과,2020-07-06,코로나19 관련 간담회 경비 지출,동아전복,14,총무과,2020-07-07
14,총무과,2020-07-07,탄소중립 관련 직원격려 간담회 경비 지출,롯데호텔 커피숍,15,총무과,2020-07-08
15,총무과,2020-07-07,탄소중립 관련 주요 시책간담회 경비 지출,이봉,16,총무과,2020-07-08
16,총무과,2020-07-08,코로나19 관련 직원 격려 간담회 경비 지출,민수사,17,총무과,2020-07-09
17,총무과,2020-07-08,코로나19 및 대구경북 상생 관련 간담회 경비 지출,청담동,18,총무과,2020-07-09
18,총무과,2020-07-09,코로나19 및 시정현안 홍보간담회 경비 지출,삼수장어,19,총무과,2020-07-10
19,총무과,2020-07-11,주요시책 관련 간담회 경비 지출,주래등,20,총무과,2020-07-12
20,총무과,2020-07-11,코로나19 대응 관련 직원 격려 간담회 경비 지출,소풍가는길,21,총무과,2020-07-12
21,총무과,2020-07-16,초복맞이 직원 격려품 구입,재민이네외 3,22,총무과,2020-07-17
22,총무과,2020-07-16,주요 시정현안 관련 홍보간담회 경비 지출,부산안면옥,23,총무과,2020-07-17
23,총무과,2020-07-17,주요 시정현안 관련 홍보간담회 경비 지출,삼수장어,24,총무과,2020-07-18
