연번,부 서 명,집행일자,집  행  내  역,집행장소,연번,"부 서 명   
 부 서 명","집행일자   
 집행일자"
5,총무과,2/12,주요시책 관련 간담회 경비 지출(시장),동보성,6,총무과,2/13
6,총무과,"2/13   
 2/13",내방객 접대용 음료 등 구입(시장),통통과일(대구점)외 1,7,총무과,2/14
7,총무과,"2/14   
 2/14",코로나19 비상근무 직원 격려 경비 지출(시장),신천상회,8,총무과,2/15
8,총무과,2/15,코로나19 비상근무 직원 격려 간담회 경비 지출(시장),식도관한우숯불갈비,9,총무과,2/16
9,총무과,2/17,주요시책 관련 홍보 간담회 경비 지출(시장),안압정갈비식당,10,총무과,2/18
10,총무과,2/18,코로나19 비상근무 직원 격려 간담회 경비 지출(시장),송림식당,11,총무과,2/19
11,총무과,2/18,코로나19 비상근무 직원 격려 간담회 경비 지출(시장),통영충무김밥,12,총무과,2/19
12,총무과,2/19,코로나19 비상근무 직원 격려 간담회 경비 지출(시장),언양불고기,13,총무과,2/20
13,총무과,2/20,코로나19 비상근무 직원 격려 간담회 경비 지출(시장),송림식당,14,총무과,2/21
14,총무과,2/21,코로나19 비상근무 직원 격려 경비 지출(시장),코코호도,15,총무과,2/22
15,총무과,2/23,코로나19 비상근무 직원 격려 간담회 경비 지출(시장),중식대가효민,16,총무과,2/24
16,총무과,2/23,코로나19 비상근무 직원 격려 간담회 경비 지출(시장),모나무르,17,총무과,2/24
17,총무과,2/24,코로나19 비상근무 직원 격려 간담회 경비 지출(시장),온돌방,18,총무과,2/25
18,총무과,2/25,코로나19 비상근무 직원 격려 간담회 경비 지출(시장),본도시락,19,총무과,2/26
19,총무과,2/26,코로나19 비상근무 직원 격려 간담회 경비 지출(시장),송림식당,20,총무과,2/27
20,총무과,2/26,코로나19 비상근무 직원 격려 간담회 경비 지출(시장),오히츠,21,총무과,2/27
21,총무과,2/27,코로나19 비상근무 직원 격려 간담회 경비 지출(시장),언양불고기,22,총무과,2/28
22,총무과,2/28,코로나19 비상근무 직원 격려 간담회 경비 지출(시장),마늘칼국수,23,총무과,2/29
23,총무과,2/28,코로나19 비상근무 직원 격려 간담회 경비 지출(시장),황뻘낙지,24,총무과,2/29
24,총무과,2/29,코로나19 비상근무 직원 격려 간담회 경비 지출(시장),향연,25,총무과,3/1
1,총무과,"1/1   
 1/1",충혼탑 신년참배 참석자 간담회 경비 지출,양정화네앞산온천골외 1,2,총무과,1/2
2,총무과,1/2,2020년 시무식 행사 관련 다과구입비 지출,대원떡집외 4,3,총무과,1/3
3,총무과,1/6,2020년도 적십자 특별성금 지출,대한적십자사 대구광역시지사,4,총무과,1/7
4,총무과,1/8,내방객 접대용 음료 등 구입,(주)신세계페이먼츠외 1,5,총무과,1/9
5,총무과,1/15,도시재창조국 직원 격려 간담회 경비 지출,민수사,6,총무과,1/16
6,총무과,"1/16   
 1/16",주요시책 관련 간담회 경비 지출,도마,7,총무과,1/17
7,총무과,"1/16   
 1/16",설맞이 온누리상품권 구입비 지출,(주)대구은행/온누리상품권,8,총무과,1/17
8,총무과,1/17,주요시책 관련 간담회 경비 지출,효탄,9,총무과,1/18
9,총무과,1/20,시 체육회 관계자 간담회 경비 지출,온돌방,10,총무과,1/21
10,총무과,1/21,정부부처 업무협의 직원 격려 간담회 경비 지출,루나미엘레,11,총무과,1/22
11,총무과,1/22,설연휴 현장 및 비상 근무자 격려금 지출,남산119안전센터 외,12,총무과,1/23
13,총무과,1/22,종교관련 업무협의 간담회 경비 지출,온돌방,14,총무과,1/23
12,총무과,1/22,대구경북 기업인 간담회 경비 지출,안압정,13,총무과,1/23
14,총무과,1/23,사랑의 쌀 나누기 관련 간담회 경비 지출,온돌방,15,총무과,1/24
15,총무과,1/28,코로나바이러스 예방업무직원 격려 간담회 경비 지출,동해복어,16,총무과,1/29
16,총무과,1/29,직원 격려 간담회 경비 지출,구내식당,17,총무과,1/30
17,총무과,1/30,근조화세트 구입,가나아트,18,총무과,1/31
18,총무과,1/30,보건업무추진 직원 격려 간담회 경비 지출,통영충무김밥,19,총무과,1/31
19,총무과,1/30,문화예술 발전방안 논의 간담회 경비 지출,비원,20,총무과,1/31
20,총무과,1/31,여성가족청소년 업무추진 직원 격려 간담회 경비 지출,동해복어,21,총무과,2/1
1,총무과,12/2,생활폐기물 처리업무 추진 직원 격려 간담회 경비 지출,만보가,2,총무과,12/3
2,총무과,"12/3   
 12/3",내방객 접대용 음료 등 구입,(주)신세계페이먼츠외 1,3,총무과,12/4
3,총무과,12/3,지역기업 경영인 간담회 경비 지출,아라한정식,4,"총무과   
 총무과",12/4
4,총무과,12/5,주요시책 관련 간담회 경비 지출,안압정,5,총무과,12/6
5,총무과,12/7,도시재생 업무추진 직원 격려 간담회 경비 지출,현대옥경대병원점,6,총무과,12/8
6,총무과,12/9,국비예산 확보 격려 직원 간담회 경비 지출,은주식당,7,총무과,12/10
7,총무과,12/9,시청별관 공무직 근로자 격려 간담회 경비 지출,송정가든,8,총무과,12/10
8,총무과,12/11,대구광역시 새마을회 간담회 경비 지출,자미성,9,총무과,12/12
9,총무과,12/12,"비서,보좌관실 직원 격려 간담회 경비 지출",해덕한우,10,총무과,12/13
10,총무과,12/13,2020년 본예산 편성 직원 격려 경비 지출,에스파스,11,"총무과   
 총무과",12/14
11,총무과,12/14,미19지원사령부 행사 지원 직원 격려 간담회 경비 지출,도마,12,총무과,12/15
12,총무과,"12/17   
 12/17",시청 본관 공무직 근로자 격려 간담회 경비 지출,성원정,13,총무과,12/18
13,총무과,12/18,시정현안 관련 간담회 경비 지출,온돌방,14,"총무과   
 총무과",12/19
14,총무과,12/24,청원경찰 격려 간담회 경비 지출,언양불고기,15,총무과,12/25
15,총무과,12/24,소방직원 격려 경비 지출,에스파스,16,"총무과   
 총무과",12/25
16,총무과,12/26,주요시책 관련 언론관계자 간담회 경비 지출,이디야커피 대구범어두레점,17,"총무과   
 총무과",12/27
17,총무과,12/26,주요시책 관련 언론관계자 간담회 경비 지출,청림원,18,"총무과   
 총무과",12/27
18,총무과,12/27,송년 간담회 개최 경비 지출,아라한정식,19,"총무과   
 총무과",12/28
19,총무과,12/31,대구경북 상생교류 직원 격려 간담회 경비 지출,온돌방,20,총무과,1/1
1,총무과,11/1,칠성야시장 개장 준비 직원 격려 간담회 경비 지출,정현대영천식육식당,2,총무과,11/2
2,총무과,11/4,비서실 직원 격려 간담회 경비 지출,현대옥경대병원점,3,총무과,11/5
3,총무과,"11/4   
 11/4",내방객 접대용 음료 등 구입,통통과일(대구점)외 1,4,총무과,11/5
4,총무과,11/4,주요 현안 관련 간담회 경비 지출,도마,5,총무과,11/5
5,총무과,11/5,주요시책 관련 간담회 경비 지출,Le Cabaret Cite & The Rounge,6,총무과,11/6
6,총무과,11/6,시민안전실 직원 격려 간담회 경비 지출,주식회사 대정옥,7,"총무과   
 총무과",11/7
7,총무과,11/6,시정현안 홍보 간담회 경비 지출,언양불고기,8,총무과,11/7
8,총무과,11/7,간부공무원 재정공감 워크숍 다과비 지출,(주)가야호텔,9,"총무과   
 총무과",11/8
9,총무과,11/7,간부공무원 재정공감 워크숍 다과비 지출,신라외식산업,10,"총무과   
 총무과",11/8
10,총무과,"11/7   
 11/7",대한적십자사 연차대회 행사지원 직원 격려 간담회 경비 지출,통영충무김밥,11,"총무과   
 총무과",11/8
11,총무과,11/8,해외 우호협력도시 체결 준비 직원 격려 간담회 경비 지출,크래프트한스 수성레이크점,12,"총무과   
 총무과",11/9
12,총무과,11/9,대구 커피&베이커리 행사 현장 직원 격려 간담회 경비 지출,장원식당,13,총무과,11/10
13,총무과,11/11,국비확보 노고 직원 격려 간담회 경비 지출,해금강,14,총무과,11/12
14,총무과,11/11,대구지구청년회의소 오찬간담회 경비 지출,벙글벙글,15,"총무과   
 총무과","11/12   
 11/12"
15,총무과,"11/12   
 11/12",국회 업무협의 직원 격려 간담회 경비 지출,장독대김치찌개,16,총무과,11/13
16,총무과,11/12,2021 세계가스총회 준비 관련 간담회 경비 지출,양스앤메츠,17,총무과,11/13
17,총무과,"11/12   
 11/12",군공항 이전부지 선정위원회 관련 직원 격려 간담회 경비 지출,석기정 서울역점,18,총무과,11/13
18,총무과,11/18,주요시책 관련 간담회 경비 지출,안압정,19,"총무과   
 총무과","11/19   
 11/19"
19,총무과,11/19,대구시.한국도로공사 신기술플랫폼 업무협약 관련 오찬 경비 지출,안압정,20,"총무과   
 총무과",11/20
20,총무과,"11/22   
 11/22",투자유치 업무추진 직원 격려 간담회 경비 지출,구내식당,21,총무과,11/23
21,총무과,11/23,2019 유네스코 음악창의도시 대구위크 행사지원 직원 격려 간담회 경비 지출,해덕한우,22,총무과,11/24
22,총무과,11/26,한국물기술인증원 개원식 준비 직원 격려 간담회 경비 지출,토석정식당,23,총무과,11/27
23,총무과,11/28,군공항 이전부지 선정위원회 관련 직원 격려 간담회 경비 지출,서울돈까스,24,총무과,11/29
1,총무과,10/1,대구혁신도시 활성화 포럼 행사지원 직원 격려 간담회 경비 지출,부림산채,2,총무과,10/2
2,총무과,10/1,내방객 접대용 음료 등 구입,통통과일(대구점)외 1,3,총무과,10/2
3,총무과,"10/2   
 10/2",서문시장 글로벌 대축제 관련 상인회장단 오찬 간담회 급식비 지출,성주식당,4,총무과,10/3
4,총무과,10/5,대구경북 상생 간담회 경비 지출,파스쿠찌팔공산점,5,총무과,10/6
5,총무과,10/6,태풍 피해복구 종사자 간담회 경비 지출,77회식당외 1,6,"총무과   
 총무과","10/7   
 10/7"
6,총무과,10/7,국정감사 준비 격려 간담회 경비 지출,구내식당,7,총무과,10/8
7,총무과,"10/9   
 10/9",주요시책 관련 간담회 경비 지출,안압정,8,총무과,10/10
8,총무과,10/10,우호도시 관련 해외출장 직원 격려 경비 지출,청도새마을휴게소,9,총무과,10/11
9,총무과,10/14,대구 국제 미래자동차 엑스포 관련 직원 격려 간담회 경비 지출,경복궁 대구점,10,총무과,10/15
10,총무과,10/14,주요시책 관련 간담회 경비 지출,온돌방,11,총무과,10/15
11,총무과,"10/16   
 10/16",중앙부처 업무협의 관련 직원 격려 경비 지출,곱창에빠지다,12,총무과,10/17
12,총무과,10/16,태풍피해 복구지원 및 국정감사 등 현안업무 추진 직원 격려 경비 지출,에스파스,13,총무과,10/17
13,총무과,10/17,근조화세트 구입,가나아트,14,총무과,10/18
14,총무과,10/21,주요시책 관련 간담회 경비 지출,파티온,15,총무과,10/22
15,총무과,10/23,현안업무 직원 격려 경비 지출,도마,16,총무과,10/24
16,총무과,10/24,주요시책 관련 간담회 경비 지출,동해복어,17,총무과,10/25
17,총무과,10/29,주요시책 관련 간담회 경비 지출,다원,18,총무과,10/30
18,총무과,10/30,중앙부처 업무협의 관련 직원 격려 경비 지출,대독장 세종점,19,총무과,"10/31   
 10/31"
19,총무과,10/30,주요시책 관련 간담회 경비 지출,만보가,20,총무과,10/31
1,총무과,9/2,추석맞이 온누리상품권 구입,(주)대구은행/온누리상품권,2,총무과,9/3
2,총무과,9/2,주요시책 관련 간담회 경비 지출,온돌방,3,총무과,9/3
3,총무과,9/3,내방객 접대용 음료 등 구입,통통과일 외 1,4,총무과,9/4
4,총무과,9/6,시정 업무추진 직원 격려 경비 지출,통영충무김밥,5,총무과,9/7
5,총무과,9/6,비서실 직원 격려 간담회 경비 지출,인화반점,6,총무과,9/7
6,총무과,9/9,추석연휴 현장 및 비상근무자 격려금 지출,신천119안전센터 외 2,7,총무과,9/10
7,총무과,9/9,추석맞이 상황근무자 격려물품 구입,대한적십자대구광역지사 외 1,8,총무과,9/10
8,총무과,9/9,서대구역세권 개발 관련 간담회 경비 지출,온돌방,9,총무과,9/10
9,총무과,9/10,시도지사 교환근무 현장지원 직원 격려 경비 지출,팔공식육식당,10,총무과,9/11
10,총무과,9/16,주요시책 관련 간담회 경비 지출,백년한옥청라,11,총무과,9/17
11,총무과,9/17,임시회 준비 직원 격려 간담회 경비 지출,온돌방,12,총무과,9/18
12,총무과,9/19,대구국제재즈축제 지원 직원 격려 경비 지출,어물전,13,총무과,9/20
13,총무과,9/20,대구시민정신 발전방안 관련 간담회 경비 지출,안압정,14,총무과,9/21
1,총무과,8/2,여름철 직원 격려품(자두) 구입,의성중부농업협동조합,2,총무과,8/3
2,총무과,8/2,주요시책 관련 간담회 경비 지출,온돌방,3,총무과,8/3
3,총무과,8/7,주요시책 관련 언론관계자 간담회 경비 지출,인화반점,4,총무과,8/8
4,총무과,8/9,주요시책 관련 간담회 경비 지출,팔선생,5,총무과,8/10
5,총무과,8/9,내방객 접대용 음료 등 구입,오케이마트,6,총무과,8/10
6,총무과,8/15,제74주년 광복절 경축식 안내직원 격려 경비 지출,커피명가 아르떼점,7,총무과,8/16
7,총무과,8/16,주요시책 관련 간담회 경비 지출,아라한정식,8,총무과,8/17
8,총무과,8/26,주요시책 관련 간담회 경비 지출,안압정,9,총무과,8/27
9,총무과,8/27,지역기업 세정지원 관련 관계자 간담회 경비 지출,아라한정식,10,총무과,8/28
10,총무과,8/28,여성UP엑스포 유공자 오찬 간담회 경비 지출,파티온,11,총무과,8/29
11,총무과,8/29,이주노동자 관련 관계자 간담회 경비 지출,홍콩중국요리,12,총무과,8/30
12,총무과,8/30,충주세계무예마스터십 개회식 참석직원 격려 경비 지출,돌장어집,13,총무과,8/31
1,총무과,7/2,지역 주요현안 관련 간담회 경비 지출,편대장영화식당 범어점,2,총무과,7/3
2,총무과,7/2,물기술인증원 유치 추진 직원 격려 경비 지출,대구농특산물유통대구장터지점,3,총무과,7/3
3,총무과,7/3,주요시책 관련 간담회 경비 지출,키사라,4,총무과,7/4
4,총무과,7/3,취임(대구지방경찰청장) 축하화분 구입,제우스플라워,5,총무과,7/4
5,총무과,7/3,내방객 접대용 음료 등 구입,오케이마트 외 1,6,총무과,7/4
6,총무과,7/5,양성평등주간 기념식관련 오찬 간담회 경비 지출,집밥아미정,7,총무과,7/6
7,총무과,7/5,한국문화산업포럼 관계자 간담회 경비 지출,산타마르게리따,8,총무과,7/6
8,총무과,7/8,비서직원 격려 간담회 경비 지출,아담스키친,9,총무과,7/9
9,총무과,7/8,청년수당 관련 업무협약 추진 직원 격려 간담회 경비 지출,파티온,10,총무과,7/9
10,총무과,7/9,시장님-직원간 소통행사「허물없데이」참석 직원 간담회 경비 지출,롯데마트칠성점 외 1,11,총무과,7/10
11,총무과,7/9,청년정책 관련 간담회 경비 지출,파티온,12,총무과,7/10
12,총무과,7/11,시장님-직원간 소통행사「허물없데이」참석 직원 간담회 경비 지출,메이드림 외 2,13,총무과,7/12
13,총무과,7/12,초복맞이 직원 격려품 구입,대명과일,14,총무과,7/13
14,총무과,7/12,광주세계수영선수권대회 개막식 현장지원 직원 격려 간담회 경비 지출,무진장해물탕,15,총무과,7/13
15,총무과,7/14,주요시책 관련 간담회 경비 지출,슈치쿠,16,총무과,7/15
16,총무과,7/15,총무팀 직원 격려 간담회 경비 지출,동해복어,17,총무과,7/16
17,총무과,7/15,취임(중부경찰서장) 축하화분 구입,제우스플라워,18,총무과,7/16
18,총무과,7/16,이스라엘 수출 및 국제협력원 업무협약 준비 직원 격려 간담회 경비 지출,참배나무골,19,총무과,7/17
19,총무과,7/16,해외 투자유치 관련 직원 격려 간담회 경비 지출,부림산채,20,총무과,7/17
20,총무과,7/17,치맥페스티벌 추진 직원 격려 경비 지출,통영충무김밥,21,총무과,7/18
21,총무과,7/22,대구지역 상생협력사업 발굴 관계자 간담회 경비 지출,온돌방,22,총무과,7/23
22,총무과,7/23,광주세계수영선수권대회 대구의날 취재 직원 격려 간담회 경비 지출,산삼골휴게소,23,총무과,7/24
23,총무과,7/23,시도지사협의회 업무추진 관련 직원 격려 간담회 경비 지출,거북선횟집,24,총무과,7/24
24,총무과,7/24,비서실 직원 격려 간담회 경비 지출,제형면옥 범어점,25,총무과,7/25
25,총무과,7/25,지역중소기업 경쟁력 제고 관련 간담회 경비 지출,온돌방,26,총무과,7/26
26,총무과,7/25,주요시책 관련 간담회 경비 지출,살맛나는집,27,총무과,7/26
1,총무과,6/1,지역 섬유패션산업 해외진출 관련 간담회 경비 지출,벙글벙글,2,총무과,6/2
2,총무과,6/3,주요시책 관련 간담회 경비 지출,다원,3,총무과,6/4
3,총무과,6/4,시정현안 홍보관련 언론관계자 간담회 경비 지출,레드피아노,4,총무과,6/5
4,총무과,6/5,주요시책 관련 간담회 경비 지출,봉희가든,5,총무과,6/6
5,총무과,6/6,제64회 현충일 추념식 행사 현장근무 직원 격려 간담회 경비 지출,상주식당,6,총무과,6/7
6,총무과,6/7,2020 대구경북 관광의해 선포식 참석 직원 격려 간담회 경비 지출,석기정 서울역점,7,총무과,6/8
7,총무과,6/10,시장혁신포럼 업무추진 직원 격려 간담회 경비 지출,아모제푸드㈜인천공항점,8,총무과,6/11
8,총무과,6/10,투자유치 간담회 개최 비용 지출,노보텔,9,총무과,6/11
9,총무과,6/12,내방객 접대용 음료 등 구입,오케이마트 외 1,10,총무과,6/13
10,총무과,6/12,청두 시장혁신포럼 행사 참가자 간담회 비용 지출,XIANG TU GU,11,총무과,6/13
11,총무과,6/13,주요시책 관련 간담회 경비 지출,만보가,12,총무과,6/14
12,총무과,6/14,외국노동자 권익보호 관련 간담회 경비 지출,만보가,13,총무과,6/15
13,총무과,6/16,대구경북 상생협력 주요시책 간담회 경비 지출,인터불고호텔,14,총무과,6/17
14,총무과,6/18,예산담당관실 직원 격려 간담회 경비 지출,만랩커피 세종정부청사점,15,총무과,6/19
15,총무과,6/18,예산반영 건의 기재부 방문 간담회 개최에 따른 경비 지출,쓰촨세종점,16,총무과,6/19
16,총무과,6/18,웹툰산업 활성화를 위한 간담회 급식비 지출,민화사랑한정식,17,총무과,6/19
17,총무과,6/21,국비확보 및 지방재정 신속집행 추진 직원 격려 간담회 경비 지출,풀꽃밥상,18,총무과,6/22
18,총무과,6/22,대구국제뮤지컬페스티벌 추진 직원 격려 간담회 경비 지출,풀꽃밥상,19,총무과,6/23
19,총무과,6/24,공용차량 운행 직원 격려 간담회 경비 지출,이월드,20,총무과,6/25
20,총무과,6/27,비서직원 격려 간담회 경비 지출,윤가네식당,21,총무과,6/28
21,총무과,6/27,미래형 일자리 노사정 협약식 준비 직원 격려 경비 지출,경복궁 대구점,22,총무과,6/28
1,총무과,4/30,내방객 접대용 음료 등 구입,오케이마트 외 1,2,총무과,5/1
2,총무과,5/2,외국대사 예방업무 행사 직원 격려 간담회 경비 지출,온돌방,3,총무과,5/3
3,총무과,5/2,일자리투자국 직원 격려 간담회 경비 지출,안압정갈비식당,4,총무과,5/3
4,총무과,5/3,달구벌 관등놀이 화재대비 근무 직원 등  격려 경비 지출,에스파스,5,총무과,5/4
5,총무과,5/3,시정현안 관련 원로 자문 간담회 경비 지출,시골어탕,6,총무과,5/4
6,총무과,5/5,컬러풀페스티벌 현장 직원 격려 간담회 경비 지출,돼지식당,7,총무과,5/6
7,총무과,5/7,노사화합 관련 관계자 간담회 경비 지출,아라한정식,8,총무과,5/8
8,총무과,5/9,보좌업무 등 직원 격려 간담회 경비 지출,동해복어,9,총무과,5/10
9,총무과,5/9,정책기획관실 직원 격려 간담회 경비 지출,통영충무김밥,10,총무과,5/10
10,총무과,5/10,중앙부처 업무협의 방문 지역특산품 제공 경비 지출,삼송제시카즈베이커리,11,총무과,5/11
11,총무과,5/11,부처님오신날 봉축점등식 행사지원 직원 격려 간담회 경비 지출,아라한정식,12,총무과,5/12
12,총무과,5/14,허물없데이 행사 참석 직원 격려를 위한 간식 구입,쥬씨 경북대병원점 외 2,13,총무과,5/15
13,총무과,5/14,시정현안 관련 간담회 경비 지출,온돌방,14,총무과,5/15
14,총무과,5/14,한국물기술인증원 유치 관련 언론관계자 브리핑 다과 구입,현대백화점대구점,15,총무과,5/15
15,총무과,5/15,비서실 직원 격려 간담회 경비 지출,삼덕에비뉴,16,총무과,5/16
16,총무과,5/15,내방객 접객용 음료 등 구입,오케이마트 외 1,17,총무과,5/16
17,총무과,5/19,5.18기념식 수행 등 직원 격려 간담회 경비 지출,해금강,18,총무과,5/20
18,총무과,5/24,태국 관광마케팅 추진 직원 격려 간담회 경비 지출,손수헌,19,총무과,5/25
19,총무과,5/27,근조화세트 구입,가나아트,20,총무과,5/28
20,총무과,5/27,대구FC 시민후원 관계자 간담회 경비 지출,호텔인터불고,21,총무과,5/28
21,총무과,5/28,수행비서 등 직원 격려 간담회 경비 지출,만촌소문난국밥,22,총무과,5/29
22,총무과,5/30,주요시책 관련 시의회 간담회 경비 지출,돌복집,23,총무과,5/31
23,총무과,5/30,대구경북 시도상생 업무추진 관련 간담회 경비 지출,신등갈비,24,총무과,5/31
24,총무과,5/31,규제혁신 현장간담회 경비 지출,해금강,25,총무과,6/1
1,총무과,4/2,청사 공무직 격려 경비 지출,에스파스,2,총무과,4/3
2,총무과,4/2,시정현안 홍보 간담회 경비 지출,만보가,3,총무과,4/3
3,총무과,4/4,시정현안 관련 간담회 경비 지출,파티온,4,총무과,4/5
4,총무과,4/5,시정현안 관련 간담회 경비 지출,온돌방,5,총무과,4/6
5,총무과,4/5,신청사건립추진공론화위원회 간담회 경비 지출,벙글벙글,6,총무과,4/6
6,총무과,4/7,대구국제마라톤대회 현장직원 격려 간담회 경비 지출,삼덕골남원추어탕,7,총무과,4/8
7,총무과,4/10,시도 상생협력 현장방문 직원격려 간담회 경비 지출,맷돌순두부,8,총무과,4/11
8,총무과,4/10,영일만항 활성화 MOU 체결 관련 관계자 간담회 경비 지출,신항만대게,9,총무과,4/11
9,총무과,4/15,시정현안 관련 간담회 경비 지출,신안촌,10,총무과,4/16
10,총무과,4/15,시정현안 관련 간담회 경비 지출,아노,11,총무과,4/16
11,총무과,4/16,부속실 직원 격려 간담회 경비 지출,명성식육식당,12,총무과,4/17
12,총무과,4/16,주요시책 관련 언론관계자 간담회 경비 지출,부창생갈비,13,총무과,4/17
13,총무과,4/17,"국회,중앙부처 협력업무 직원 격려 간담회 경비 지출",규반,14,총무과,4/18
14,총무과,4/19,산불진화 근무 등 직원 격려 경비 지출,에스파스,15,총무과,4/20
15,총무과,4/22,수행직원 격려 간담회 경비 지출,동명휴게소,16,총무과,4/23
16,총무과,4/23,시정현안 의회 협력 관련 간담회 경비 지출,온돌방,17,총무과,4/24
17,총무과,4/25,시정현안 의회 협력 관련 간담회 경비 지출,마늘칼국수,18,총무과,4/26
18,총무과,4/26,국가안전대진단 현장점검 관련 관계자 간식 구입 지출,교촌치킨,19,총무과,4/27
19,총무과,4/27,직원 격려 간담회 경비 지출,고령촌돼지찌개,20,총무과,4/28
20,총무과,4/29,시정현안 관련 간담회 경비 지출,만보가,21,총무과,4/30
1,총무과,3/4,직원 격려 간담회 경비 지출,교촌치킨 중앙점 외 2,2,총무과,3/5
2,총무과,3/5,시정현안 업무추진 직원 격려 경비 지출,엘리펀트피자 외 3,3,총무과,3/6
3,총무과,3/7,싱가포르 모노레일 현지법인 개소식 관련 간담회 경비 지출,DUSK,4,총무과,3/8
4,총무과,3/10,시정현안 관련 간담회 경비 지출,경복궁 대구점,5,총무과,3/11
5,총무과,3/11,직원 격려 간담회 경비 지출,꿈을요리하다닭한끼침산점,6,총무과,3/12
6,총무과,3/13,직원 격려 간담회 경비 지출,부림산채,7,총무과,3/14
7,총무과,3/14,직원 격려 경비 지출,채다올김밥,8,총무과,3/15
8,총무과,3/15,직원 격려 경비 지출,통영충무김밥,9,총무과,3/16
9,총무과,3/16,직원 격려 간담회 경비 지출,엄마손칼국수,10,총무과,3/17
10,총무과,3/18,시정현안 홍보 간담회 경비 지출,감포은정복어,11,총무과,3/19
11,총무과,3/19,직원 격려 경비 지출,현대옥 경대병원점,12,총무과,3/20
12,총무과,3/20,시정현안 관련 간담회 경비 지출,㈜이월드,13,총무과,3/21
13,총무과,3/21,직원 격려 경비 지출,푸른회식당,14,총무과,3/22
14,총무과,3/22,로봇산업 육성 전략 보고회 근무 직원 격려 경비 지출,원조현풍박소선할매집곰탕 외 2,15,총무과,3/23
15,총무과,3/22,시정현안 관련 간담회 경비 지출,황소식당,16,총무과,3/23
16,총무과,3/23,직원 격려 경비 지출,장원식당,17,총무과,3/24
17,총무과,3/25,대구경북상생협력 추진 관련 간담회 경비 지출,동심각,18,총무과,3/26
18,총무과,3/26,시정현안 관련 간담회 경비 지출,수목은갈치,19,총무과,3/27
19,총무과,3/26,사회서비스 공공성 강화 관련 간담회 경비 지출,민수사,20,총무과,3/27
20,총무과,3/27,우수부서 격려 온누리상품권 구입비 지출,(주)대구은행/온누리상품권,21,총무과,3/28
21,총무과,3/29,대구경북 자치단체장 연석회의 참석자 간담회 경비 지출,라페루즈,22,총무과,3/30
22,총무과,3/30,대구경북 자치단체장 연석회의 참석자 간담회 경비 지출,농가맛집산마을,23,총무과,3/31
23,총무과,3/30,구군 상생협력 간담회 경비 지출,영일만물곰식당,24,총무과,3/31
1,총무과,1/31,시정현안 관련 간담회 경비 지출,안압정,2,총무과,2/1
2,총무과,2/1,설맞이 상황근무자 격려물품 구입,농업회사법인 대구농특산물유통 주식회사,3,총무과,2/2
3,총무과,2/1,직원 격려 간담회 경비 지출,피자에땅 (지산범물점)외 6,4,총무과,2/2
4,총무과,2/8,시정현안 간담회 경비 지출,안압정,5,총무과,2/9
5,총무과,2/11,시정현안 간담회 경비 지출,노보텔앰배서더대구,6,총무과,2/12
6,총무과,2/12,근조화세트 구입,가나아트,7,총무과,2/13
7,총무과,2/12,내방객 접대용 음료 등 구입,오케이마트,8,총무과,2/13
8,총무과,2/12,직원 격려 간담회 경비 지출,교촌치킨지묘봉무점,9,총무과,2/13
9,총무과,2/12,직원 격려 간담회 경비 지출,아라한정식,10,총무과,2/13
10,총무과,2/20,시정현안 관련 간담회 경비 지출,서초복집,11,총무과,2/21
11,총무과,2/22,시정현안 관련 간담회 경비 지출,온돌방,12,총무과,2/23
12,총무과,2/23,직원 격려 간담회 경비 지출,현대옥 경대병원점,13,총무과,2/24
13,총무과,2/26,직원 격려 간담회 경비 지출,아라한정식,14,총무과,2/27
14,총무과,2/27,내방객 접대용 음료 등 구입,이마트칠성점 외 1,15,총무과,2/28
1,총무과,1/2,2019년 시무식 행사 관련 다과 구입비 지출,대원떡집외 2,2,총무과,1/3
2,총무과,1/3,2019년 실국 핵심사업  보고회 관련 시정현안 간담회 경비 지출,장원,3,총무과,1/4
3,총무과,1/4,2019년 실국 핵심사업  보고회 관련 시정현안 간담회 경비 지출,동해복어,4,총무과,1/5
4,총무과,1/9,2019년도 적십자 특별회비 지출,대한적십자사 대구광역시지사,5,총무과,1/10
5,총무과,1/10,내방객 접대용 음료 등 구입,오케이마트외 1,6,총무과,1/11
6,총무과,1/11,직원 격려 간담회 경비 지출,동심각,7,총무과,1/12
7,총무과,1/15,2019년 실국 핵심사업  보고회 관련 시정현안 간담회 경비 지출,동인삼계탕,8,총무과,1/16
8,총무과,1/16,시도지사 교환근무 참여직원 격려 간담회 경비 지출,(주)광동유통안동하휴게소,9,총무과,1/17
9,총무과,1/16,시도지사 교환근무 행사 참석직원 격려 간담회 경비 지출,구내식당운영위원회,10,총무과,1/17
10,총무과,1/16,시도지사 상생협력 2차 교환근무 행사 만찬 간담회 경비 지출,동해해물탕송정점,11,총무과,1/17
11,총무과,1/17,2019 여성신년교례회 참석 직원 격려간담회 경비 지출,주식회사 즐거운세상 인터불고 호텔지점,12,총무과,1/18
12,총무과,1/21,직원 격려 간담회 경비 지출,명성식육식당,13,총무과,1/22
13,총무과,1/24,직원 격려 간담회 경비 지출,아라한정식/(주)다인필,14,총무과,1/25
14,총무과,1/25,설맞이 온누리 상품권 구입비 지출,(주)대구은행/온누리상품권,15,총무과,1/26
15,총무과,1/25,직원 격려 간담회 경비 지출,피자에땅,16,총무과,1/26
